Designator,Mid X,Mid Y,Rotation,Layer
C1,27.452,43.688,0.0,top
D1,7.112,43.688,0.0,top
J1,3.302,43.688,0.0,top
J2,44.577,36.068,180.0,top
J3,44.577,55.118,0.0,top
R1,9.652,60.198,0.0,top
R10,14.732,46.228,180.0,top
R2,37.592,60.198,180.0,top
R3,9.652,57.658,0.0,top
R4,9.652,55.118,0.0,top
R5,9.652,52.578,0.0,top
R6,37.592,57.658,180.0,top
R7,37.592,52.578,180.0,top
R8,37.592,55.118,180.0,top
R9,3.302,55.118,270.0,top
SW1,3.787,27.233,0.0,top
U1,7.112,33.528,90.0,top
U2,17.272,50.038,90.0,top
